model,eval_roc_auc,eval_accuracy,eval_precision,eval_recall,eval_loss,eval_f1
Length model,61.97473547549497,78.5011513502198,78.5011513502198,78.5011513502198,52.15020408453953,78.5011513502198
AA model,91.9524829600779,88.48649780196777,88.48649780196777,88.48649780196777,28.579012643734636,88.48649780196777
Linear-DeepFeat,99.28695877961701,96.90182122671132,96.90182122671132,96.90182122671132,11.518162801284259,96.90182122671132
Linear-AllFeat,99.29480038948392,96.92275486707138,96.92275486707138,96.92275486707138,11.639486824960578,96.92275486707138
Tree-AllFeat,99.56240181759169,97.46702951643292,97.46702951643292,97.46702951643292,6.508044217112493,97.46702951643292
